STT,DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
488,6/20/2018,945.3,966.86,966.86,936.83,45.85
489,6/21/2018,966.91,955.75,966.91,950.06,36.52
490,6/22/2018,954.7,973.05,974.42,945.59,43.75
491,6/25/2018,973.45,982.09,989.18,973.45,39.99
492,6/26/2018,981.97,973.9,981.97,959.29,35.78
493,6/27/2018,973.89,961.29,976.93,961.29,36.06
494,6/28/2018,962.93,947.03,967.28,943.12,52.71
495,6/29/2018,945.26,947.55,951.74,939.7,41.82
496,7/2/2018,945.94,930.12,945.94,917.8,62.21
497,7/3/2018,931.12,891.97,931.12,891.97,72.75
498,7/4/2018,892.01,900.89,901.64,880.37,47.75
499,7/5/2018,901.25,883.77,905.51,875.17,49.73
500,7/6/2018,880.17,905.62,910.14,870.34,64.07
501,7/9/2018,905.97,898.73,916.84,896.79,46.15
502,7/10/2018,898.09,897.96,906.25,897.96,41.42
503,7/11/2018,894.16,881.14,894.16,871.22,57.53
504,7/12/2018,877.68,883.87,893.15,870.53,38.91
505,7/13/2018,886.17,899.45,902.14,886.17,45.05
506,7/16/2018,901.68,904.18,910.82,897.03,49.12
507,7/17/2018,903.87,915.53,915.53,892.39,47.02
508,7/18/2018,915.69,935.42,935.42,915.23,60.41
509,7/19/2018,935.54,941.09,946.39,934.2,56.92
510,7/20/2018,939.27,926.5,941.41,926.5,61.82
511,7/23/2018,927.01,931.31,945.13,926.56,77.02
512,7/24/2018,931.2,923.53,932.83,916.19,59.41
513,7/25/2018,923.55,915.68,931.55,915.68,57.45
514,7/26/2018,915.7,921.33,921.33,907.6,48.18
515,7/27/2018,923.02,927.19,930.57,918.37,45.39
516,7/30/2018,927.36,939.6,940.25,927.36,52.47
517,7/31/2018,938.73,944.38,948.38,934.39,62.66
518,8/1/2018,944.31,939.31,947.08,935.63,57.1
519,8/2/2018,939.85,937.86,939.85,924.38,57.09
520,8/3/2018,938.51,941.12,949.93,938.51,47.69
521,8/6/2018,941.13,939.84,943.98,935.75,49.4
522,8/7/2018,939.81,936.92,941.63,933.77,55.9
523,8/8/2018,937.69,945.89,946.07,937.58,50.32
524,8/9/2018,945.78,943.91,954.38,942.83,64.85
525,8/10/2018,942.85,948.32,948.69,936.44,46.5
526,8/13/2018,946.75,960.02,960.02,941.95,84.06
527,8/14/2018,960.29,965.6,968.62,959.23,59.71
528,8/15/2018,965.61,947.82,969.8,947.78,68.64
529,8/16/2018,946.91,950.18,950.18,932.27,68.2
530,8/17/2018,951.68,949.23,959.39,949.23,48.04
531,8/20/2018,949.3,945.65,952.16,942.33,55.72
532,8/21/2018,946.55,955.27,955.27,944.88,54.35
533,8/22/2018,956,959.63,963.17,956,77.68
534,8/23/2018,960.09,960.94,963.91,957.98,45.09
535,8/24/2018,960.22,960.42,963.09,955.16,59.84
536,8/27/2018,960.43,966.55,969.97,960.43,68.76
537,8/28/2018,966.34,971.01,972.4,966.34,62.34
538,8/29/2018,971.12,964.99,972.32,964,48.37
539,8/30/2018,965.56,975.43,975.43,960.86,57.46
540,8/31/2018,975.48,969.23,979.11,969.23,63.43
541,9/4/2018,969.15,951.14,971.3,951.14,53.57
542,9/5/2018,951.09,941,953.37,938.53,56.27
543,9/6/2018,941.21,932.12,944.73,931.99,49.47
544,9/7/2018,932.1,945.59,945.59,931.19,49.62
545,9/10/2018,945.04,943.31,948.31,942.68,56.36
546,9/11/2018,943.67,958.91,959.09,940.78,53.03
547,9/12/2018,959.2,958.67,967.78,958.67,58.28
548,9/13/2018,958.63,957.17,963.72,955.64,53.8
549,9/14/2018,958.01,960.33,965.23,958.01,62.16
550,9/17/2018,958.78,953.79,960.94,951.38,46.89
551,9/18/2018,953.45,959.75,959.75,945.93,64.69
552,9/19/2018,960.01,962.7,969.34,960.01,74.1
553,9/20/2018,962.82,971.18,971.48,962.26,66.13
554,9/21/2018,971.12,974.43,978.77,968.73,125.49
555,9/24/2018,974.47,985.59,986.3,974.47,60.87
556,9/25/2018,985.57,985.11,988.23,980.44,62.15
557,9/26/2018,985.26,984.39,989.54,980.8,65.87
558,9/27/2018,985.28,989.45,992.1,984.15,57.13
559,9/28/2018,989.98,994.73,996.6,989.98,97.27
560,10/1/2018,994.76,990.41,1001.14,990,90.3
561,10/2/2018,990.26,987.88,992.77,984.54,183.51
562,10/3/2018,987.46,990.6,992.87,986.16,61.98
563,10/4/2018,990.49,993.61,993.78,989.06,75.35
564,10/5/2018,993.42,980.75,993.42,980.75,150.64
565,10/8/2018,979.27,970.28,979.27,968.61,78.54
566,10/9/2018,970.21,967.37,974.29,966.68,73.93
567,10/10/2018,967.58,966.27,970.51,961.7,71.54
568,10/11/2018,959.12,920.02,959.12,911.69,141.17
569,10/12/2018,918.83,943.49,943.73,908.74,87.96
570,10/15/2018,943.51,928.55,943.62,927.6,45.78
571,10/16/2018,928.46,939.41,939.41,926.96,51.
572,10/17/2018,940.29,945.91,949.41,940.29,58.21
573,10/18/2018,945.92,937.54,945.92,936.22,49.14
574,10/19/2018,937.47,931.69,937.47,920.28,55.48
575,10/22/2018,931.66,922.75,938.02,922.75,46.94
576,10/23/2018,919.26,908,919.49,893.34,80.75
577,10/24/2018,905.91,896.5,909.4,896.5,55.22
578,10/25/2018,896.39,888.86,896.39,860.13,62.08
579,10/26/2018,890.71,881.06,897.48,881.06,47.32
580,10/29/2018,878.35,874.43,881.87,870.36,45.4
581,10/30/2018,872.69,874.06,881.83,868.29,45.59
582,10/31/2018,878.68,901.57,901.93,878.68,73.72
583,11/1/2018,900.11,887.72,901.17,885.58,77.74
584,11/2/2018,889.81,903.43,905.65,889.81,58.39
585,11/5/2018,903.24,904.83,904.83,894.88,39.18
586,11/6/2018,905.34,899.61,909.19,899.61,40.14
587,11/7/2018,900.47,899.25,903.15,892.79,53.79
588,11/8/2018,901.42,900.4,909.69,899.65,31.81
589,11/9/2018,900.14,885.65,900.14,885.65,42.29
590,11/12/2018,883.49,888.2,889.06,875.29,36.3
